benchmark,registersize,missrate
fft,1,11.838006230529595
fft,2,12.026097690001764
fft,3,12.555104919767238
fft,4,13.00769999412214
fft,5,13.513195791453594
fft,6,13.971668723917006
fft,7,14.53594310233351
fft,8,14.712278845588667
fft,9,15.264797507788161
fft,10,15.846705460530183
fft,11,16.363956974078643
fft,12,16.834185622759065
insersort,1,11.903927068723702
insersort,2,12.096774193548388
insersort,3,12.640252454417952
insersort,4,13.101916783543713
insersort,5,13.639551192145863
insersort,6,14.107059373539037
insersort,7,14.685600748013089
insersort,8,14.895979429640018
insersort,9,15.474520804114073
insersort,10,16.082281439925197
insersort,11,16.602384291725105
insersort,12,17.087424029920523
hello,1,3.8913165940178187
hello,2,3.898426518926073
hello,3,3.989214790831478
hello,4,4.0802765213872005
hello,5,4.223295395503246
hello,6,4.362759307165163
hello,7,4.534217880914227
hello,8,4.686260890490749
hello,9,4.880963449516798
hello,10,5.0860574372549125
hello,11,5.318770748675092
hello,12,5.526872781566699
fibonacci,1,11.6048
fibonacci,2,11.6118
fibonacci,3,11.631
fibonacci,4,11.648
fibonacci,5,10.029
fibonacci,6,10.048
fibonacci,7,8.0462
fibonacci,8,8.054400000000001
fibonacci,9,6.824800000000001
fibonacci,10,6.848799999999999
fibonacci,11,6.870800000000001
fibonacci,12,4.5364
oddeven,1,12.92687929443134
oddeven,2,13.101220387652548
oddeven,3,10.993744231360886
oddeven,4,11.398830889139576
oddeven,5,11.844938980617373
oddeven,6,12.239770279971285
oddeven,7,12.737155163572966
oddeven,8,12.890985539944621
oddeven,9,13.36273202748436
oddeven,10,13.885755307147985
oddeven,11,14.34211875705056
oddeven,12,14.73695005640447
linpack,1,1.059
linpack,2,1.0652
linpack,3,1.0942
linpack,4,1.1208
linpack,5,1.1304
linpack,6,1.1582000000000001
linpack,7,1.1902
linpack,8,1.1967999999999999
linpack,9,1.2182
linpack,10,1.2576
linpack,11,1.2884
linpack,12,1.3122
