benchmark,registersize,missrate
fft,1,20.161053312173046
fft,2,20.20219831893258
fft,3,20.40204549462176
fft,4,22.84135660965144
fft,5,21.49532710280374
fft,6,19.232351731029212
fft,7,18.24487156880033
fft,8,16.763651325457005
fft,9,16.23464409569153
fft,10,16.599071298418856
fft,11,17.333803561982013
fft,12,17.62769646740728
insersort,1,20.488546049555868
insersort,2,23.50981767180926
insersort,3,24.742870500233753
insersort,4,22.317671809256662
insersort,5,19.82819074333801
insersort,6,19.99181860682562
insersort,7,18.01659654043946
insersort,8,16.953015427769984
insersort,9,17.280271154745208
insersort,10,18.127629733520337
insersort,11,17.975689574567554
insersort,12,17.987377279102386
hello,1,18.72699529104204
hello,2,16.001706381977982
hello,3,12.041751666730475
hello,4,11.983231515562531
hello,5,9.616720355715012
hello,6,9.448543285769759
hello,7,6.493275651788694
hello,8,5.730052558752591
hello,9,5.175751874559048
hello,10,5.2591567629058815
hello,11,5.357328418369859
hello,12,5.453312404631296
fibonacci,1,11.858
fibonacci,2,11.93
fibonacci,3,11.899
fibonacci,4,11.9056
fibonacci,5,11.860800000000001
fibonacci,6,11.776
fibonacci,7,9.736
fibonacci,8,9.7624
fibonacci,9,9.4832
fibonacci,10,7.868799999999999
fibonacci,11,7.8926
fibonacci,12,5.5534
oddeven,1,24.787201312685877
oddeven,2,24.00779407240283
oddeven,3,17.23412983283766
oddeven,4,16.849553891908524
oddeven,5,17.69049328274023
oddeven,6,17.32642805866065
oddeven,7,15.936826992103374
oddeven,8,15.249717977643318
oddeven,9,14.767716131678801
oddeven,10,14.054968721156804
oddeven,11,14.34211875705056
oddeven,12,14.8138652445903
linpack,1,2.1022
linpack,2,2.2807999999999997
linpack,3,2.1124
linpack,4,2.0316
linpack,5,1.6562000000000001
linpack,6,1.4776
linpack,7,1.4326
linpack,8,1.399
linpack,9,1.3586
linpack,10,1.362
linpack,11,1.3856
linpack,12,1.4132
