register_size,correlated,gshare
1,10.622560098623381,10.721183480583521
2,10.805424286007808,11.13211423875077
3,11.012944318882269,11.173207314567495
4,11.084857201561537,10.731456749537703
5,11.442366961167043,11.70125333881241
6,11.75056502979248,12.25395520854736
7,12.019724676392029,12.886788576124921
8,12.198479556194782,13.044996918019313
9,12.48407643312102,12.72447092664886
10,12.86624203821656,12.697760427367989
11,13.098417916581056,12.697760427367989
12,13.521676597493324,12.697760427367989
